                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                time_step                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                            cz_bot_radius                            cz_top_radius                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he3                              surface_he4                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                             elapsed_time 
                                       1                                      350                  1.6175236809197327E+006                  1.7834958091973272E+005                  5.2512720931839807E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999999909707005E-001                  2.0626405403697317E+000                  4.8017522727594021E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0627350579179273E+000                  4.8017522727594021E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0626405403697317E+000                 -4.6114727686696231E+000                 -1.6473574591252401E+001                 -8.7229177372585681E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6478689627421303E+000                  1.7400965902049215E-001                  3.1452574047861237E-001                  3.8088378724559004E+000                 -1.7592565027053664E+000                 -1.5861047670350392E-009                  6.5767820598958791E+000                 -2.5806087581889711E-003                  1.4699280198719929E+001                 -2.5806087581889711E-003                  6.5767820598958791E+000                  6.1981800995889724E-001                  8.5033846426602266E-001                  1.2958661539532597E+000                  7.0067371637476006E-001                  2.7907735943191048E-001                  3.4379075956966817E-003                  9.4388501581244202E-003                  7.0100108231494640E-001                  2.7892161359150376E-005                  2.7889352692262764E-001                  7.0067371637868203E-001                  2.7907735942970674E-001                                        0                                        0                                        9                  5.3200000000000003E-001 
                                      10                                     1335                  4.8072623961604545E+006                  5.6039740213107853E+005                  5.7484961133325934E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.4538438989398670E+000                  5.1853444548715222E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4538759697916532E+000                  4.4350252170118776E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1853444548715222E-001                  1.4538438989398670E+000                 -3.7938928561879797E+000                 -1.2178557077598477E+001                 -7.5821034280327012E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6361985046355723E+000                 -1.7666893751039195E-001                  1.6252735842628685E-001                  4.1128346365605513E+000                 -1.6941974629211007E+000                 -3.3794433575365920E-010                  6.7064427458154992E+000                  5.0719886508629786E-001                  1.5338742460980660E+001                  5.0719886508629786E-001                  6.7064427458154992E+000                  6.1976761180863038E-001                  8.5033776278534423E-001                  1.2958679570408143E+000                  7.0067229598194725E-001                  2.7907867291084876E-001                  3.4379194217495192E-003                  9.4388826268237570E-003                  7.0067383125504101E-001                  2.7912576158794658E-005                  2.7907726045722375E-001                  7.0067371014420965E-001                  2.7907737263873283E-001                                        0                                        0                                       14                  1.6138000000000002E+001 
                                      20                                     1381                  1.7731246243657790E+007                  2.2318755086608599E+006                  6.3486699665157778E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0669897908764436E+000                  5.9829412947028393E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0670168253019394E+000                  5.7387530223476790E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9829412947028393E-001                  1.0669897908764436E+000                 -2.0901007051809386E+000                 -6.8468629365382174E+000                 -6.1992719893568335E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6689547128572215E+000                 -3.1434581449988958E-001                  2.8176503488238802E-002                  4.3815363464366470E+000                 -1.6989951545844528E+000                 -3.4709912140405769E-011                  6.8883466948667369E+000                  1.3634669123974272E+000                  1.6378490014604306E+001                  1.3634669123974272E+000                  6.8883466948667369E+000                  6.1990015849136126E-001                  8.5032895612417969E-001                  1.2958931724423655E+000                  7.0065128210966410E-001                  2.7908892934650237E-001                  3.4380071498875870E-003                  9.4391316902079133E-003                  7.0068087941638502E-001                  2.7922422918909953E-005                  2.7907071499429592E-001                  7.0067267045368808E-001                  2.7907737353162598E-001                                        0                                        0                                        9                  3.4225000000000001E+001 
                                      10                                     1335                  4.8017556339568179E+006                  5.5993169716340152E+005                  5.7481350531594106E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.4541637708619706E+000                  5.1867228922265374E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4541958388232543E+000                  4.5095662579307949E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1867228922265374E-001                  1.4541637708619706E+000                 -3.7895564237053114E+000                 -1.2181056784556159E+001                 -7.5827379028085090E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6362043015779451E+000                 -1.7645467143876822E-001                  1.6262289757735238E-001                  4.1126435582584202E+000                 -1.6941974645157609E+000                 -3.3830991084289922E-010                  6.7063658433710760E+000                  5.0681478155221205E-001                  1.5338281526314328E+001                  5.0681478155221205E-001                  6.7063658433710760E+000                  6.1976757338194544E-001                  8.5033776381200443E-001                  1.2958679543846963E+000                  7.0067229808034515E-001                  2.7907867104888723E-001                  3.4379194052849144E-003                  9.4388825816197376E-003                  7.0067383373846770E-001                  2.7912538880252927E-005                  2.7907725808527384E-001                  7.0067371016621816E-001                  2.7907737257560267E-001                                        0                                        0                                       14                  1.6559999999999999E+001 
                                      50                                     1875                  2.2743552465222493E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  7.7334862308186076E-003                  8.8443551351604521E-001                  6.3858180983788349E-001                  4.8600644729522309E-002                  1.0996082668631097E-003                  8.8446494916508245E-001                  6.2088004893744064E-001                  5.6857877611323215E-002                  1.0996082668631097E-003                  6.3858180983788349E-001                  8.8443551351604521E-001                 -1.4805924512691751E-001                 -2.1488021637827379E+000                 -4.7298355608376852E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7523384076104844E+000                 -1.4379503434581126E-001                 -5.3315495941248063E-002                  4.5445203452956209E+000                 -1.7397253794668102E+000                  8.3934472016853166E-014                  7.1327203549607345E+000                  1.9179046822004633E+000                  1.7176851527334019E+001                  1.9179046822004633E+000                  7.1327203549607345E+000                  6.2501729264145212E-001                  8.4492455396034383E-001                  1.3099146685574299E+000                  6.8983289775106948E-001                  2.8929536264091665E-001                  1.6945208192042319E-005                  9.4500692467922118E-003                  7.0186008629622443E-001                  2.7816189899144237E-005                  2.7795801614577004E-001                  6.9917186852870072E-001                  2.8030676576129204E-001                                        0                                        0                                        4                  8.1537999999999997E+001 
                                      10                                     1335                  4.8017393315200796E+006                  5.5993136291677481E+005                  5.7481347939108103E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.4541640042857102E+000                  5.1867209363711908E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4541960722616734E+000                  4.5817458641640813E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1867209363711908E-001                  1.4541640042857102E+000                 -3.7809263103932280E+000                 -1.2181061979557773E+001                 -7.5827394466940163E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6362043577909895E+000                 -1.7645430715419022E-001                  1.6262296729355319E-001                  4.1126434188260186E+000                 -1.6941974685878385E+000                 -3.3830869536223410E-010                  6.7063655975495333E+000                  5.0681569115150904E-001                  1.5338282185573906E+001                  5.0681569115150904E-001                  6.7063655975495333E+000                  6.1976757346929945E-001                  8.5033776401886640E-001                  1.2958679538590197E+000                  7.0067229849080270E-001                  2.7907867065172748E-001                  3.4379194015369341E-003                  9.4388825713295783E-003                  7.0067383952197282E-001                  2.7912472946087414E-005                  2.7907725255697513E-001                  7.0067371018290459E-001                  2.7907737244411696E-001                                        0                                        0                                       14                  1.6190000000000001E+001 
                                      30                                     1595                  3.8250322001268588E+007                  3.0424436860938389E+006                  6.4832225484320807E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  4.3694148655101864E-002                  9.4618593881848484E-002                  1.1154162112742272E-003                  9.1264077542874267E-001                  6.5477056992088312E-001                  1.0400299835270341E-001                  1.1154162112742272E-003                  9.1266654201774822E-001                  6.4143436410317756E-001                  0.0000000000000000E+000                  9.4618593881848484E-002                 -1.9626149113302285E-001                 -1.2412251207247751E+000                 -4.7313743150985019E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7548447522969854E+000                 -1.0649732010226717E-001                 -3.9679328192477645E-002                  4.5172480097980801E+000                 -1.7067447973439460E+000                 -3.2467469935746166E-011                  7.1339296898460862E+000                  1.8993077989146263E+000                  1.7162765186621481E+001                  1.8993077989146263E+000                  7.1339296898460862E+000                  6.2001511496883854E-001                  8.5002215247839885E-001                  1.2966695158090951E+000                  7.0005523903213718E-001                  2.7958090379103412E-001                  2.8462660442984422E-003                  9.4399301497056637E-003                  7.0075188955668566E-001                  2.7917848774454963E-005                  2.7900381832481935E-001                  7.0058469620663266E-001                  2.7911933207491968E-001                                        0                                        0                                        5                  4.8057000000000002E+001 
                                      32                                     1630                  4.7399688866856232E+007                  5.4170884996315511E+006                  6.7337659307667614E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.1285108204891352E-002                  1.0695753169949535E-001                  1.1234510515621742E-003                  8.7732846967176126E-001                  6.3728810213244813E-001                  1.1831875793963317E-001                  1.1234510515621742E-003                  8.7735126581971834E-001                  6.2487126354970213E-001                  0.0000000000000000E+000                  1.0695753169949535E-001                 -1.9505772364598425E-001                 -1.2064204884514889E+000                 -4.7303984000381433E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7505490204960776E+000                 -1.5795668231043028E-001                 -5.6817545694744433E-002                  4.5515244448026140E+000                 -1.7184526338134158E+000                 -5.9952484891909788E-012                  7.1344453581580858E+000                  1.8899561913983993E+000                  1.7153691783640724E+001                  1.8899561913983993E+000                  7.1344453581580858E+000                  6.2021926637789759E-001                  8.4980684796494965E-001                  1.2972319203500633E+000                  6.9963157512894181E-001                  2.7993509925018140E-001                  2.4014041403362780E-003                  9.4403701766055496E-003                  7.0081013474535148E-001                  2.7912441908868209E-005                  2.7894913635668006E-001                  7.0050895478269015E-001                  2.7916979741863102E-001                                        0                                        0                                        4                  5.0659999999999997E+001 
                                      20                                     1381                  1.7747390967060059E+007                  2.2336103972203452E+006                  6.3490074225426874E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0668649087335091E+000                  5.9804616323461324E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0669006631357145E+000                  5.7086747925820236E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9804616323461324E-001                  1.0668649087335091E+000                 -2.0884241127939487E+000                 -6.8418082595363146E+000                 -6.1979445995451023E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6690300516522081E+000                 -3.1414610019495987E-001                  2.8125683050730821E-002                  4.3816379873116631E+000                 -1.6989997867456930E+000                 -3.4633955693901695E-011                  6.8885384624378609E+000                  1.3642045690229734E+000                  1.6379422965012118E+001                  1.3642045690229734E+000                  6.8885384624378609E+000                  6.1989994198410547E-001                  8.5032893343433347E-001                  1.2958932423292997E+000                  7.0065122187569051E-001                  2.7908894419473718E-001                  3.4380072442645165E-003                  9.4391320500050984E-003                  7.0068052790536728E-001                  2.7923063357869187E-005                  2.7907097849917045E-001                  7.0067266599881428E-001                  2.7907737353086970E-001                                        0                                        0                                        9                  3.4207000000000001E+001 
