                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     491                                     2260                  1.0000000000000000E+000                  2.0000000000000000E-002                  4.6100000000000000E+009                  1.9122131092151918E+006                  5.7718812427770026E+003                  9.9716417138386404E-001                  1.0000170291531874E+000                 -1.5247823059049881E+000                  3.4029990846062846E-001                  7.3907552500215194E-006                  6.3822507285141550E-001                  1.2402491591156704E-005                  5.2625750194081975E-003                  9.0642305906745053E-003                  2.1875763540583431E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.6296538672272110E-001                  7.4748274321981853E-004                  3.1592155865385635E-001                  2.5285524401785901E-003                  2.0209144933834326E-003                  9.4278848272571960E-003                  2.1226557298852991E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999991185351E-001                  9.9986451920911656E-001                  9.9999999983125709E-001                  9.9974864971904864E-001                  1.0012549240623463E+004                  2.3539946836922344E+007                  1.0028438934104506E+010                  9.9888825226381250E-001                  9.9888824777114615E-001                  1.8188774596984770E-043                  2.4362068428460920E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.4548307142624000E+017 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                       dq                                   csound 
                                       1                  1.0000000000000000E+000                  7.3956042904922999E-006                  3.7616379442608352E+000                 -6.6465560887432966E+000                  4.9307261322186164E+000                  7.2698715194955155E-001                  2.5429037119475129E-001                  1.8722476855697168E-002                  1.0000170291531874E+000                  5.7812500000000578E-013                  7.8714755032564618E+005 
                                       2                  9.9999999999942191E-001                  6.8731851808103926E-006                  3.7621360469466714E+000                 -6.6450178448245625E+000                  4.9327641833063094E+000                  7.2698715139183956E-001                  2.5429037165775914E-001                  1.8722476950401301E-002                  1.0000158262189720E+000                  3.1738281250000274E-013                  7.8756837854964077E+005 
                                       3                  9.9999999999910449E-001                  6.5873973860187748E-006                  3.7624903575062634E+000                 -6.6439345083060841E+000                  4.9342030546687701E+000                  7.2698715095704580E-001                  2.5429037201872140E-001                  1.8722477024232798E-002                  1.0000151681580580E+000                  3.1738281250000264E-013                  7.8786742934052448E+005 
                                       4                  9.9999999999878708E-001                  6.3023210318887463E-006                  3.7629914336254360E+000                 -6.6424176837129956E+000                  4.9362227030869539E+000                  7.2698715036994399E-001                  2.5429037250612840E-001                  1.8722477123927606E-002                  1.0000145117357535E+000                  5.7714843750000437E-013                  7.8828993119026895E+005 
                                       5                  9.9999999999820999E-001                  5.7857266298030434E-006                  3.7636425435197873E+000                 -6.6404787446423956E+000                  4.9388150528130383E+000                  7.2698714977051315E-001                  2.5429037300377100E-001                  1.8722477225715850E-002                  1.0000133222166299E+000                  5.7714843750000417E-013                  7.8883817893900559E+005 
                                       6                  9.9999999999763300E-001                  5.2714316303349793E-006                  3.7646300341080878E+000                 -6.6375926833691290E+000                  4.9426921489525668E+000                  7.2698714912156137E-001                  2.5429037354252548E-001                  1.8722477335913146E-002                  1.0000121379935556E+000                  1.1621093750000085E-012                  7.8966797265591775E+005 
                                       7                  9.9999999999647082E-001                  4.2427332995169068E-006                  3.7659689645960710E+000                 -6.6338088545510416E+000                  4.9478198212004605E+000                  7.2698714873854453E-001                  2.5429037386050285E-001                  1.8722477400952675E-002                  1.0000097693021683E+000                  1.1621093750000085E-012                  7.9078966617775825E+005 
                                       8                  9.9999999999530875E-001                  3.2229514461205156E-006                  3.7674128441377905E+000                 -6.6298728353901462E+000                  4.9532051366500305E+000                  7.2698714857683855E-001                  2.5429037399474991E-001                  1.8722477428411599E-002                  1.0000074211474919E+000                  1.3085937500000040E-012                  7.9199464471503906E+005 
                                       9                  9.9999999999400013E-001                  2.0849774601531503E-006                  3.7696746634551523E+000                 -6.6239704398804911E+000                  4.9613780528024378E+000                  7.2698714849406354E-001                  2.5429037406346899E-001                  1.8722477442467467E-002                  1.0000048008495430E+000                  2.5000000000000204E-012                  7.9387197307496145E+005 
