                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                time_step                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                            cz_bot_radius                            cz_top_radius                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he3                              surface_he4                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                             elapsed_time 
                                       1                                      520                  1.4588851042584893E+006                  1.9711009173564544E+004                  4.2947088600628307E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999999997423006E-001                  2.0329087386668636E+000                  4.7311873562329645E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0329297650069948E+000                  4.7311873562329645E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0329087386668636E+000                 -4.4857544212834481E+000                 -1.6266994125875140E+001                 -8.6315984521999653E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6466775363623740E+000                  1.5643722175656485E-001                  3.0812237460616171E-001                  3.8216446042008019E+000                 -1.6941970760835194E+000                 -3.3696320677909592E-009                  6.5831666692091231E+000                  1.6648688388614667E-002                  1.4724905223735938E+001                  1.6648688388614667E-002                  6.5831666692091231E+000                  6.1981064788107998E-001                  8.5033846427394499E-001                  1.2958661539277345E+000                  7.0067371640781551E-001                  2.7907735933970118E-001                  3.4379075955289209E-003                  9.4388501576638303E-003                  7.0067371640781650E-001                  2.7910529610364453E-005                  2.7907735933969718E-001                  7.0067371640781617E-001                  2.7907735933969846E-001                                        0                                        0                                        9                  2.9599999999999999E-001 
                                      10                                     1395                  3.5846463570141876E+006                  4.3787852362277970E+005                  5.6413536451216890E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.5561823172317186E+000                  4.7912889338922016E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5562365542206567E+000                  3.9078086174355670E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7912889338922016E-001                  1.5561823172317186E+000                 -3.6972580371235351E+000                 -1.2947889420827842E+001                 -7.7769556841646136E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6383076024753005E+000                 -1.0913603864233937E-001                  1.9207561218085586E-001                  4.0537381290514132E+000                 -1.6941973304815052E+000                 -4.6796243291960477E-010                  6.6830059596492646E+000                  3.9380731414525516E-001                  1.5201937903845662E+001                  3.9380731414525516E-001                  6.6830059596492646E+000                  6.1979905918956779E-001                  8.5033801392776098E-001                  1.2958673088463053E+000                  7.0067280736275905E-001                  2.7907821382167147E-001                  3.4379153253570574E-003                  9.4388713800772697E-003                  7.0067375538473342E-001                  2.7911662062547269E-005                  2.7907733107169486E-001                  7.0067371317075255E-001                  2.7907737059350934E-001                                        0                                        0                                       14                  3.5590000000000002E+000 
                                      20                                     1424                  1.3627772728868069E+007                  1.7408965945170729E+006                  6.2407729757328738E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.1135695104743712E+000                  5.9265061156370069E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1135857131660813E+000                  5.6123901483847471E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9265061156370069E-001                  1.1135695104743712E+000                 -2.5476851727871530E+000                 -8.2116098416249059E+000                 -6.5569877566199608E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6502785592159697E+000                 -3.5195613506611689E-001                  4.6723650487628804E-002                  4.3444420524378673E+000                 -1.6942015903269900E+000                 -5.9841790212661127E-011                  6.8379949162604214E+000                  1.1566535109912313E+000                  1.6120508813456119E+001                  1.1566535109912313E+000                  6.8379949162604214E+000                  6.1990295370011184E-001                  8.5033333241185638E-001                  1.2958800640926202E+000                  7.0066244006491984E-001                  2.7908519217818289E-001                  3.4379769827678789E-003                  9.4390409587485173E-003                  7.0067716409614811E-001                  2.7920660676584168E-005                  2.7907411170499496E-001                  7.0067339918921401E-001                  2.7907737350601691E-001                                        0                                        0                                        9                  8.4350000000000005E+000 
                                      30                                     1639                  3.2738887062422778E+007                  2.2719269479937949E+006                  6.3563943628694188E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  3.7308505942631157E-003                  9.7992101034667223E-001                  6.6505903230659491E-001                  3.9138058821312730E-002                  1.1112877678891482E-003                  9.7995129562351413E-001                  6.4686596668209706E-001                  4.3810491699273993E-002                  1.1112877678891482E-003                  6.6505903230659491E-001                  9.7992101034667223E-001                 -3.0573363211411286E-001                 -1.6658459834684207E+000                 -4.8225042700708400E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7543197961336681E+000                 -4.6804969149057005E-002                 -8.7832403892378220E-003                  4.4554558341916009E+000                 -1.7008015639684306E+000                 -3.5588189375044864E-011                  7.1164460784824080E+000                  1.9040795099380261E+000                  1.7150300237462865E+001                  1.9040795099380261E+000                  7.1164460784824080E+000                  6.1994654365107227E-001                  8.5011533324487665E-001                  1.2964315933107926E+000                  7.0023481384503583E-001                  2.7942806931211478E-001                  3.0476649902053989E-003                  9.4397530297657441E-003                  7.0072179879634489E-001                  2.7921071801607383E-005                  2.7903221072480761E-001                  7.0062734279475192E-001                  2.7909170051789334E-001                                        0                                        0                                        6                  1.2287000000000001E+001 
                                      34                                     1706                  4.8087786890784904E+007                  5.7686351085433112E+006                  6.7610730687972822E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.3533924932331232E-002                  1.0891052970175956E-001                  1.1238601394383293E-003                  8.7674287321735245E-001                  6.3721596834490934E-001                  1.2030355365335593E-001                  1.1238601394383293E-003                  8.7676568890498785E-001                  6.2199437747538078E-001                  0.0000000000000000E+000                  1.0891052970175956E-001                 -1.9582599195721734E-001                 -1.2091555857207221E+000                 -4.7313247957554594E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502808915760184E+000                 -1.5960910865183134E-001                 -5.7107501025326204E-002                  4.5521043554637775E+000                 -1.7169273116763260E+000                 -4.7881050647881688E-012                  7.1343367771190920E+000                  1.8894223082587411E+000                  1.7153035842002311E+001                  1.8894223082587411E+000                  7.1343367771190920E+000                  6.2023242853241578E-001                  8.4979329847043050E-001                  1.2972671347013989E+000                  6.9960428771572913E-001                  2.7995924444622766E-001                  2.3880090076405687E-003                  9.4404087517220570E-003                  7.0081368227572538E-001                  2.7912525855126865E-005                  2.7894564536707128E-001                  7.0050148867294448E-001                  2.7917499667271822E-001                                        0                                        0                                        4                  1.3863000000000000E+001 
                                      40                                     1852                  1.0808778689078490E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  4.4820181589298839E-002                  9.4412520391214727E-002                  1.1134706919936135E-003                  8.8005001598427479E-001                  6.3342711974814958E-001                  1.0465511574136035E-001                  1.1134706919936135E-003                  8.8007756864011388E-001                  6.1907306637514925E-001                  0.0000000000000000E+000                  9.4412520391214727E-002                 -1.7082779407559892E-001                 -1.5919258712683810E+000                 -4.7359353418744242E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7510019032182558E+000                 -1.5345554389437782E-001                 -5.5472741931073530E-002                  4.5488348372752725E+000                 -1.7334286489203981E+000                  1.9124972692800598E-013                  7.1328305691958640E+000                  1.9015227472357386E+000                  1.7162719058652794E+001                  1.9015227472357386E+000                  7.1328305691958640E+000                  6.2171206667376178E-001                  8.4829830233690762E-001                  1.3012152579388556E+000                  6.9659275754340788E-001                  2.8265357762994248E-001                  6.3504628442099652E-004                  9.4435914986757581E-003                  7.0116562115695946E-001                  2.7879933601062495E-005                  2.7861370932006557E-001                  7.0004551603853726E-001                  2.7952944793648538E-001                                        0                                        0                                        6                  1.6419000000000000E+001 
                                      50                                     1957                  2.0808778689078489E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  8.4986078981840098E-003                  8.8419968399029303E-001                  6.3778220710002809E-001                  5.0282908415504611E-002                  1.1003487433435949E-003                  8.8422860563692218E-001                  6.2291930410823360E-001                  5.5141673890234152E-002                  1.1003487433435949E-003                  6.3778220710002809E-001                  8.8419968399029303E-001                 -1.4949445124960581E-001                 -2.0971156818207790E+000                 -4.7313831449319359E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7521840150921992E+000                 -1.4464124609320875E-001                 -5.3429816778377257E-002                  4.5447489869698794E+000                 -1.7342818944358926E+000                  8.8185853269043545E-014                  7.1325799949707260E+000                  1.9169680646511535E+000                  1.7176088380712159E+001                  1.9169680646511535E+000                  7.1325799949707260E+000                  6.2455433632372426E-001                  8.4539758734813009E-001                  1.3086969853844765E+000                  6.9077895099889375E-001                  2.8835194619146531E-001                  2.2945904464256953E-005                  9.4490827820240837E-003                  7.0176296338514144E-001                  2.7824378748289672E-005                  2.7804993909476261E-001                  6.9931073259412979E-001                  2.8018082656742355E-001                                        0                                        0                                        4                  2.0725999999999999E+001 
                                      60                                     2003                  3.0808778689078492E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8687927439693182E-001                  6.3903849346793062E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8690837750902352E-001                  6.2409071711543651E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3903849346793062E-001                  8.8687927439693182E-001                 -1.4461048944034163E-001                 -2.2063194517704283E+000                 -4.7239769577153744E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7524490839335574E+000                 -1.4095282766804901E-001                 -5.2115745248512868E-002                  4.5421208439101504E+000                 -1.7348130024979072E+000                  7.0597560558776856E-014                  7.1328888044515359E+000                  1.9225805131418088E+000                  1.7179594967151242E+001                  1.9225805131418088E+000                  7.1328888044515359E+000                  6.2811422036360787E-001                  8.4178058304142955E-001                  1.3180600321078957E+000                  6.8354684126553289E-001                  2.9557608083473419E-001                  9.3086320578835755E-006                  9.4540629585944131E-003                  7.0235729730753282E-001                  2.7769082001905159E-005                  2.7748923529971870E-001                  6.9858134595737942E-001                  2.8085346028361496E-001                                        0                                        0                                        5                  2.5094999999999999E+001 
                                      70                                     2025                  4.0808778689078492E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8923802264292895E-001                  6.4127664870632806E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8926730961827449E-001                  6.2676728661063263E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4127664870632806E-001                  8.8923802264292895E-001                 -1.4081154152053810E-001                 -2.2728529659179624E+000                 -4.7150024848522172E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7526868300148011E+000                 -1.3769494487696840E-001                 -5.0962296015459055E-002                  4.5398139454440427E+000                 -1.7353674206922773E+000                  6.4806084854721604E-014                  7.1339551859197563E+000                  1.9273945815894491E+000                  1.7182937304800426E+001                  1.9273945815894491E+000                  7.1339551859197563E+000                  6.3185866206570529E-001                  8.3802914874402112E-001                  1.3279138026513111E+000                  6.7604433563660560E-001                  3.0306466956323314E-001                  9.1434318949343606E-006                  9.4586894692075037E-003                  7.0294893303267580E-001                  2.7714025103882856E-005                  2.7693111821573879E-001                  6.9785349671886332E-001                  2.8153609189172168E-001                                        0                                        0                                        4                  2.9181000000000001E+001 
                                      80                                     2044                  5.0808778689078492E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.9142627571209898E-001                  6.4223749328674951E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9145581998506007E-001                  6.2765737819199385E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4223749328674951E-001                  8.9142627571209898E-001                 -1.3730428592078583E-001                 -2.3256871766961376E+000                 -4.7057504106810690E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7529355284674888E+000                 -1.3456547583821116E-001                 -4.9894958401457239E-002                  4.5376792702160396E+000                 -1.7363621060747119E+000                  6.1943808780466133E-014                  7.1350828832877493E+000                  1.9322282574331169E+000                  1.7186337810976365E+001                  1.9322282574331169E+000                  7.1350828832877493E+000                  6.3566480679039894E-001                  8.3427000015335362E-001                  1.3379366108923267E+000                  6.6852658404662524E-001                  3.1056824732899324E-001                  9.1504572654840871E-006                  9.4631419736511489E-003                  7.0353759450610698E-001                  2.7659237004477754E-005                  2.7637591837153425E-001                  6.9712487647802357E-001                  2.8222672950554051E-001                                        0                                        0                                        5                  3.3426000000000002E+001 
                                      90                                     2056                  6.0808778689078486E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.9358101637220178E-001                  6.4315389990093530E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9361078831056284E-001                  6.2850264456887694E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4315389990093530E-001                  8.9358101637220178E-001                 -1.3396468526519525E-001                 -2.3695373411532397E+000                 -4.6963619954188246E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7531753859457608E+000                 -1.3150916272091739E-001                 -4.8846516799354020E-002                  4.5355823870118330E+000                 -1.7369282886742394E+000                  6.0905583507025512E-014                  7.1362444349233440E+000                  1.9370993033766091E+000                  1.7189786206016255E+001                  1.9370993033766091E+000                  7.1362444349233440E+000                  6.3953423643694696E-001                  8.3050190522388179E-001                  1.3481362169741700E+000                  6.6099098705077153E-001                  3.1808962215429876E-001                  9.1957216095569333E-006                  9.4674062401489349E-003                  7.0412147485524812E-001                  2.7604901085089054E-005                  2.7582528248186544E-001                  6.9639424447851817E-001                  2.8292442886813202E-001                                        0                                        0                                        5                  3.8070000000000000E+001 
                                     100                                     2062                  7.0808778689078486E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.9570160693530021E-001                  6.4523188411535226E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9573156672422316E-001                  6.2931938388908037E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4523188411535226E-001                  8.9570160693530021E-001                 -1.3072672083057757E-001                 -2.4062546980666810E+000                 -4.6868926101365666E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7534157497939651E+000                 -1.2848898701354816E-001                 -4.7817156642077453E-002                  4.5335236666972802E+000                 -1.7374948630129257E+000                  5.9758832655953883E-014                  7.1374292858399606E+000                  1.9420134781749541E+000                  1.7193277296565888E+001                  1.9420134781749541E+000                  7.1374292858399606E+000                  6.4346788503116714E-001                  8.2672427790819059E-001                  1.3585188929641308E+000                  6.5343634060720002E-001                  3.2563004480970620E-001                  9.2500331658983296E-006                  9.4714679354278436E-003                  7.0470179460370674E-001                  2.7550899109640275E-005                  2.7527802756138769E-001                  6.9566086819301776E-001                  2.8362864768546286E-001                                        0                                        0                                        5                  4.2243000000000002E+001 
