                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                time_step                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                            cz_bot_radius                            cz_top_radius                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he3                              surface_he4                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                             elapsed_time 
                                       1                                      350                  1.6175236729611193E+006                  1.7834957787619473E+005                  5.2512720857727393E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999999909707005E-001                  2.0626405434959469E+000                  4.8017522800867943E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0627350610441244E+000                  4.8017522800867943E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0626405434959469E+000                 -4.6114727811829725E+000                 -1.6473574612540279E+001                 -8.7229177428406317E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6478689627485381E+000                  1.7400966036211543E-001                  3.1452574113660764E-001                  3.8088378711399100E+000                 -1.7592565015425918E+000                 -1.5861047812594033E-009                  6.5767820592339499E+000                 -2.5806107463679393E-003                  1.4699280196068488E+001                 -2.5806107463679393E-003                  6.5767820592339499E+000                  6.1981800995955882E-001                  8.5033846426602266E-001                  1.2958661539532597E+000                  7.0067371637476006E-001                  2.7907735943191048E-001                  3.4379075956966817E-003                  9.4388501581244184E-003                  7.0100108230753500E-001                  2.7892161359580547E-005                  2.7889352692693509E-001                  7.0067371637868203E-001                  2.7907735942970674E-001                                        0                                        0                                        9                  1.9200000000000000E-001 
                                      10                                     1335                  4.8017559589727893E+006                  5.5993171895570320E+005                  5.7481350700619656E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.4541637568020980E+000                  5.1867230407627973E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4541958247640998E+000                  4.5095664243677636E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1867230407627973E-001                  1.4541637568020980E+000                 -3.7900893331642487E+000                 -1.2181056410105723E+001                 -7.5827377874116181E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6362042957281573E+000                 -1.7645470323542908E-001                  1.6262289337859656E-001                  4.1126435666559322E+000                 -1.6941974642551241E+000                 -3.3830997204051293E-010                  6.7063658622736160E+000                  5.0681471107242571E-001                  1.5338281475107342E+001                  5.0681471107242571E-001                  6.7063658622736160E+000                  6.1976757334422838E-001                  8.5033776382816206E-001                  1.2958679543433618E+000                  7.0067229811273668E-001                  2.7907867101851164E-001                  3.4379194049941166E-003                  9.4388825808213537E-003                  7.0067383338455858E-001                  2.7912542995608620E-005                  2.7907725842293979E-001                  7.0067371016526225E-001                  2.7907737258310589E-001                                        0                                        0                                       14                  4.1559999999999997E+000 
                                      20                                     1381                  1.7731245242816772E+007                  2.2318754978897003E+006                  6.3486699644198472E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0669928500137951E+000                  5.9829498378615709E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0670256452579399E+000                  5.7111595673907412E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9829498378615709E-001                  1.0669928500137951E+000                 -2.0901053320508209E+000                 -6.8468777319686360E+000                 -6.1992758531277218E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6689519557519592E+000                 -3.1435435442112575E-001                  2.8177747738144302E-002                  4.3815338579368364E+000                 -1.6989950984845383E+000                 -3.4705779348040245E-011                  6.8883461137797619E+000                  1.3634656902260398E+000                  1.6378488205156998E+001                  1.3634656902260398E+000                  6.8883461137797619E+000                  6.1990015910242391E-001                  8.5032895636452233E-001                  1.2958931718123685E+000                  7.0065128261018950E-001                  2.7908892893037957E-001                  3.4380071459455641E-003                  9.4391316791520435E-003                  7.0068064426943788E-001                  2.7922780231468499E-005                  2.7907089153718939E-001                  7.0067267046049020E-001                  2.7907737353105627E-001                                        0                                        0                                        5                  8.4369999999999994E+000 
                                      30                                     1595                  3.8251040117111050E+007                  3.0426785628309860E+006                  6.4832560746840597E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  4.3732345682180714E-002                  9.4621008160662726E-002                  1.1154457160486467E-003                  9.1265920662451283E-001                  6.5477672854046853E-001                  1.0445265291178962E-001                  1.1154457160486467E-003                  9.1269008931251860E-001                  6.3981976162053866E-001                  0.0000000000000000E+000                  9.4621008160662726E-002                 -1.9619692440590999E-001                 -1.2416057315777946E+000                 -4.7313805005394372E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7548331733307618E+000                 -1.0652611099618925E-001                 -3.9670565706991213E-002                  4.5172304848271079E+000                 -1.7067449228396405E+000                 -3.2464687067180289E-011                  7.1339298487239091E+000                  1.8992733357488971E+000                  1.7162731404590456E+001                  1.8992733357488971E+000                  7.1339298487239091E+000                  6.2001389070172763E-001                  8.5002347086399777E-001                  1.2966661563076496E+000                  7.0005764888257682E-001                  2.7957892553434055E-001                  2.8511989662789723E-003                  9.4399284820601715E-003                  7.0075063666464465E-001                  2.7918368197426354E-005                  2.7900489876989581E-001                  7.0058469928461953E-001                  2.7911934446162073E-001                                        0                                        0                                        5                  1.1972000000000000E+001 
                                      32                                     1629                  4.7399797981469773E+007                  5.4158105437972797E+006                  6.7336634634277255E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.2395425149825892E-002                  1.0785768188740216E-001                  1.1236453176681714E-003                  8.7733603455900711E-001                  6.3730923306530696E-001                  1.1973274013776875E-001                  1.1236453176681714E-003                  8.7736137503251999E-001                  6.2322299176471463E-001                  0.0000000000000000E+000                  1.0785768188740216E-001                 -1.9511036013289046E-001                 -1.2060763646576265E+000                 -4.7304013874750801E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7505165255320114E+000                 -1.5807918945433239E-001                 -5.6813809338562241E-002                  4.5515169720902495E+000                 -1.7184447216864687E+000                 -6.0098719758804878E-012                  7.1344694423706860E+000                  1.8897309174869976E+000                  1.7153493437330862E+001                  1.8897309174869976E+000                  7.1344694423706860E+000                  6.2021198836791569E-001                  8.4981428759164568E-001                  1.2972120092286026E+000                  6.9964598518451260E-001                  2.7992396389950075E-001                  2.4262917513033985E-003                  9.4403624061282672E-003                  7.0080844025833589E-001                  2.7913006944380585E-005                  2.7895063145888754E-001                  7.0050900529024940E-001                  2.7916983841115750E-001                                        0                                        0                                        5                  1.2641999999999999E+001 
                                      40                                     1786                  1.2738647285546739E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  3.6433134440532741E-002                  8.4623768684568973E-002                  1.1096069252028687E-003                  8.8071606547492509E-001                  6.3446664135389008E-001                  9.6589438745131789E-002                  1.1096069252028687E-003                  8.8074172310716659E-001                  6.2013089806080279E-001                  0.0000000000000000E+000                  8.4623768684568973E-002                 -1.6302175727445206E-001                 -1.7379242388297860E+000                 -4.7339211880683628E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7515394756849858E+000                 -1.5065109962573614E-001                 -5.5145664730213401E-002                  4.5481806828735518E+000                 -1.7393489020200765E+000                  1.3828470735842107E-013                  7.1329460444228658E+000                  1.9061111858939319E+000                  1.7167119345135376E+001                  1.9061111858939319E+000                  7.1329460444228658E+000                  6.2220998397427574E-001                  8.4779297990214508E-001                  1.3025304462567258E+000                  6.9557597052603004E-001                  2.8362030700676283E-001                  3.7176919376547332E-004                  9.4446408566942926E-003                  7.0127847202760285E-001                  2.7869455900934785E-005                  2.7850725047399588E-001                  6.9990462283873522E-001                  2.7965009477809105E-001                                        0                                        0                                        9                  1.6574999999999999E+001 
                                      50                                     1888                  2.2738647285546738E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  4.1843561048330868E-003                  8.8438011065446032E-001                  6.3859632533704458E-001                  3.9750155050569891E-002                  1.0992844814959497E-003                  8.8440671268482329E-001                  6.2254675309479091E-001                  4.4076459526920880E-002                  1.0992844814959497E-003                  6.3859632533704458E-001                  8.8438011065446032E-001                 -1.4826528905602129E-001                 -2.1256539069652276E+000                 -4.7304655619772753E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7523540907961412E+000                 -1.4378668534263581E-001                 -5.3342687810974516E-002                  4.5445747290350740E+000                 -1.7397458498697980E+000                  8.1951993461894324E-014                  7.1324725214962559E+000                  1.9182883788766225E+000                  1.7176868584363039E+001                  1.9182883788766225E+000                  7.1324725214962559E+000                  6.2519704121637387E-001                  8.4474121776846012E-001                  1.3103867269116865E+000                  6.8946668401411226E-001                  2.8966256995425005E-001                  1.3788000841508057E-005                  9.4501082910495599E-003                  7.0187329652651009E-001                  2.7814153996076482E-005                  2.7794588393893899E-001                  6.9917127679410684E-001                  2.8030828035227412E-001                                        0                                        0                                        5                  2.0997000000000000E+001 
                                      60                                     1928                  3.2738647285546738E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8696567802150217E-001                  6.3982065690178425E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8699246181974456E-001                  6.2535662512296419E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3982065690178425E-001                  8.8696567802150217E-001                 -1.4380592005668638E-001                 -2.2193306213471051E+000                 -4.7222502928293373E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7526016209241080E+000                 -1.4026101263194332E-001                 -5.2074911711561672E-002                  4.5420391768362487E+000                 -1.7402515242994123E+000                  6.9067015336992408E-014                  7.1330902524145099E+000                  1.9234969358688552E+000                  1.7180233582471757E+001                  1.9234969358688552E+000                  7.1330902524145099E+000                  6.2881913454854466E-001                  8.4107021431817675E-001                  1.3199147256582651E+000                  6.8212614596187238E-001                  2.9699414069626862E-001                  9.2476180711368223E-006                  9.4549982719139072E-003                  7.0246467413023139E-001                  2.7759165362931308E-005                  2.7738791132805152E-001                  6.9844234134379024E-001                  2.8098315820137948E-001                                        0                                        0                                        5                  2.5660000000000000E+001 
                                      70                                     1950                  4.2738647285546738E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8924540471570934E-001                  6.4085741946797792E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8927240092687099E-001                  6.2632136157087259E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4085741946797792E-001                  8.8924540471570934E-001                 -1.4007062962467165E-001                 -2.2828239630173432E+000                 -4.7131980935351493E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7528532644550840E+000                 -1.3702495006805870E-001                 -5.0960167491571236E-002                  4.5398096883962671E+000                 -1.7413995129291076E+000                  5.1637354846195869E-014                  7.1341730606359386E+000                  1.9283130229293288E+000                  1.7183589736792303E+001                  1.9283130229293288E+000                  7.1341730606359386E+000                  6.3257563747216317E-001                  8.3731692661909285E-001                  1.3298012359604483E+000                  6.7461998804171075E-001                  3.0448629601530364E-001                  9.1393556394167993E-006                  9.4595962642728387E-003                  7.0305674490629033E-001                  2.7704067037858552E-005                  2.7682939952819680E-001                  6.9771438898451177E-001                  2.8166749949554054E-001                                        0                                        0                                        5                  3.1404000000000000E+001 
