                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      520                  1.4588851042584893E+006                  4.2947088600628307E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999999997423006E-001                  9.9999999996400002E-001                  7.8119518462767689E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8119518462767689E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4857544212827296E+000                 -8.6315984521999653E+001                 -1.9691888454767074E+001                 -4.4857544212827296E+000                 -4.4857544212834481E+000                 -1.6266994125875140E+001                 -8.6315984521999653E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6466775363623740E+000                  1.5643722175656485E-001                  3.0812237460616171E-001                  3.8216446042008019E+000                 -3.3696320677909592E-009                  6.5831666692091231E+000                  1.6648688388614667E-002                  1.4724905223735938E+001                  1.6648688388614667E-002                  6.5831666692091231E+000                  6.1981064788107998E-001                  8.5033846427394499E-001                  1.2958661539277345E+000                  7.0067371640781551E-001                  2.7907735933970118E-001                  3.4379075955289209E-003                  9.4388501576638303E-003                  3.4379075955289213E-003                  9.4388501576638303E-003                  7.0067371640781617E-001                  2.7907735933969846E-001                                        0                                        0                                        9 
                                       5                                      901                  1.9016610999287765E+006                  5.2832151399500775E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999990149990E-001                  7.1231837112700359E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.4100892143716235E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.8530234184943031E+000                 -8.3414019056514888E+001                 -1.9566949718158774E+001                 -3.8530234184943031E+000                 -3.8530234184963321E+000                 -1.5183580850704177E+001                 -8.3414019056514888E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6448271473112426E+000                  7.9023179346301209E-002                  2.7311613150329250E-001                  3.8916570904065404E+000                 -1.0600809343859758E-009                  6.6163762427512118E+000                  1.2225110535262608E-001                  1.4863774486425319E+001                  1.2225110535262608E-001                  6.6163762427512118E+000                  6.1979769932861650E-001                  8.5033842328945242E-001                  1.2958662588009453E+000                  7.0067363297591023E-001                  2.7907744602430379E-001                  3.4379083227915087E-003                  9.4388521543791060E-003                  3.4379075952968956E-003                  9.4388501570268034E-003                  7.0067371616063279E-001                  2.7907736049210413E-001                                        0                                        0                                        4 
                                      10                                     1395                  3.5846463570141876E+006                  5.6413536451216890E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999991399990E-001                  1.5001609908919902E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  8.8795297791580186E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.6972580368796679E+000                 -7.7769556841646136E+001                 -9.8999999999999986E+001                 -3.6972580368796684E+000                 -3.6972580371235351E+000                 -1.2947889420827842E+001                 -7.7769556841646136E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6383076024753005E+000                 -1.0913603864233937E-001                  1.9207561218085586E-001                  4.0537381290514132E+000                 -4.6796243291960477E-010                  6.6830059596492646E+000                  3.9380731414525516E-001                  1.5201937903845662E+001                  3.9380731414525516E-001                  6.6830059596492646E+000                  6.1979905918956779E-001                  8.5033801392776098E-001                  1.2958673088463053E+000                  7.0067280736275905E-001                  2.7907821382167147E-001                  3.4379153253570574E-003                  9.4388713800772697E-003                  3.4379072283049722E-003                  9.4388491494424905E-003                  7.0067371317075255E-001                  2.7907737059350934E-001                                        0                                        0                                       14 
                                      15                                     1412                  6.9284942403994780E+006                  5.9361356630105115E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999997649991E-001                  3.7097039177712277E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.0947589199933545E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.4618514875527970E+000                 -7.2389495184901747E+001                 -1.8964889726830812E+001                 -3.4618514875527970E+000                 -3.4618515059117736E+000                 -1.0835787345348200E+001                 -7.2389495184901747E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6349675434132078E+000                 -2.7924519694811839E-001                  1.1370115115215115E-001                  4.2104870511088226E+000                 -1.8655827131374068E-010                  6.7487518242532447E+000                  7.2376296231451087E-001                  1.5597655560264226E+001                  7.2376296231451087E-001                  6.7487518242532447E+000                  6.1979656838855446E-001                  8.5033695413426913E-001                  1.2958700640478014E+000                  7.0067062428406146E-001                  2.7908010458734034E-001                  3.4379321667986113E-003                  9.4389176190385893E-003                  3.4379030332715647E-003                  9.4388376318869406E-003                  7.0067369311510830E-001                  2.7907737343599925E-001                                        0                                        0                                        9 
                                      20                                     1424                  1.3627772728868069E+007                  6.2407729757328738E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998274991E-001                  6.3416235947800859E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  5.9088680336131272E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.5476842312029326E+000                 -6.5569877566199608E+001                 -1.8362829735502849E+001                 -2.5476842312029326E+000                 -2.5476851727871530E+000                 -8.2116098416249059E+000                 -6.5569877566199608E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6502785592159697E+000                 -3.5195613506611689E-001                  4.6723650487628804E-002                  4.3444420524378673E+000                 -5.9841790212661127E-011                  6.8379949162604214E+000                  1.1566535109912313E+000                  1.6120508813456119E+001                  1.1566535109912313E+000                  6.8379949162604214E+000                  6.1990295370011184E-001                  8.5033333241185638E-001                  1.2958800640926202E+000                  7.0066244006491984E-001                  2.7908519217818289E-001                  3.4379769827678789E-003                  9.4390409587485173E-003                  3.4378771336924046E-003                  9.4387665240284607E-003                  7.0067339918921401E-001                  2.7907737350601691E-001                                        0                                        0                                        9 
                                      25                                     1484                  2.3981190261474960E+007                  6.2505066289816966E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999992650057E-001                  8.7349358852573145E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999995462530E-001                  8.5690063918969284E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3128188817005109E+000                 -5.5744996797300267E+001                 -1.3991097080119397E+001                 -1.3128188817004198E+000                 -1.3131169781867675E+000                 -4.4763953758017738E+000                 -5.5744996797300267E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7104823301529684E+000                 -1.7768407080543380E-001                  1.3452140743973494E-002                  4.4109850719251780E+000                 -9.2382523259818863E-012                  6.9828653397903881E+000                  1.6860052573090694E+000                  1.6797525784331270E+001                  1.6860052573090694E+000                  6.9828653397903881E+000                  6.1989898298729629E-001                  8.5030626639993179E-001                  1.2959653637283572E+000                  7.0058817697978648E-001                  2.7909819520143497E-001                  3.4374599838933990E-003                  9.4393384452843791E-003                  3.4376939883013395E-003                  9.4382636943696387E-003                  7.0066729579726283E-001                  2.7907738692682071E-001                                        0                                        0                                        5 
                                      30                                     1639                  3.2738887062422778E+007                  6.3563943628694188E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  3.7308505942631157E-003                  9.9999999996868760E-001                  9.5997154780065375E-001                  3.3543902098764899E-003                  7.8119508139491771E-008                  9.9999999998587497E-001                  9.5381686967318968E-001                  4.6847427352155746E-003                  7.8119508139491771E-008                 -2.8718279444601047E-001                 -4.8225042700708400E+001                 -1.0309349313733353E+001                 -2.8718279440474204E-001                 -3.0573363211411286E-001                 -1.6658459834684207E+000                 -4.8225042700708400E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7543197961336681E+000                 -4.6804969149057005E-002                 -8.7832403892378220E-003                  4.4554558341916009E+000                 -3.5588189375044864E-011                  7.1164460784824080E+000                  1.9040795099380261E+000                  1.7150300237462865E+001                  1.9040795099380261E+000                  7.1164460784824080E+000                  6.1994654365107227E-001                  8.5011533324487665E-001                  1.2964315933107926E+000                  7.0023481384503583E-001                  2.7942806931211478E-001                  3.0476649902053989E-003                  9.4397530297657441E-003                  3.4374661535313627E-003                  9.4376381690479752E-003                  7.0062734279475192E-001                  2.7909170051789334E-001                                        0                                        0                                        6 
                                      34                                     1706                  4.8087786890784904E+007                  6.7610730687972822E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.3533924932331232E-002                  6.2932729574173230E-002                  7.8119509322488200E-008                  9.9999999997962485E-001                  9.6980816942085735E-001                  8.2596704603251137E-002                  7.8119509322488200E-008                  9.9999999999149991E-001                  9.6478327046652024E-001                 -1.5562832315527483E-001                 -4.7313247957554594E+001                 -9.8457752003102446E+000                 -1.5562832306663327E-001                 -1.9582599195721734E-001                 -1.2091555857207221E+000                 -4.7313247957554594E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502808915760184E+000                 -1.5960910865183134E-001                 -5.7107501025326204E-002                  4.5521043554637775E+000                 -4.7881050647881688E-012                  7.1343367771190920E+000                  1.8894223082587411E+000                  1.7153035842002311E+001                  1.8894223082587411E+000                  7.1343367771190920E+000                  6.2023242853241578E-001                  8.4979329847043050E-001                  1.2972671347013989E+000                  6.9960428771572913E-001                  2.7995924444622766E-001                  2.3880090076405687E-003                  9.4404087517220570E-003                  3.4366526766712569E-003                  9.4354047506165894E-003                  7.0050148867294448E-001                  2.7917499667271822E-001                                        0                                        0                                        4 
                                      35                                     1713                  5.8087786890784904E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.3924255258778054E-002                  6.2932729574173452E-002                  7.8119509539116823E-008                  9.9999999997962485E-001                  9.6860570546664626E-001                  8.3894168919894374E-002                  7.8119509539116823E-008                  9.9999999999149991E-001                  9.6411812472208314E-001                 -1.5987511035818691E-001                 -4.7371958228542326E+001                 -9.8768589536612392E+000                 -1.5987511027485710E-001                 -1.9623534399875958E-001                 -1.2550860402239097E+000                 -4.7371958228542326E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7499735761679682E+000                 -1.6253765152835337E-001                 -5.7957141647486596E-002                  4.5538036367080981E+000                 -4.8954183624101697E-013                  7.1331890045566810E+000                  1.8892019448303699E+000                  1.7151503123380113E+001                  1.8892019448303699E+000                  7.1331890045566810E+000                  6.2047522869126914E-001                  8.4954652880990023E-001                  1.2979200961289969E+000                  6.9911086004025935E-001                  2.8038018072280768E-001                  1.9622862801127743E-003                  9.4409193850548620E-003                  3.4361009552220018E-003                  9.4338899873649372E-003                  7.0042261556310925E-001                  2.7923088175308297E-001                                        0                                        0                                        5 
