                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                time_step                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                            cz_bot_radius                            cz_top_radius                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he3                              surface_he4                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                             elapsed_time 
                                       1                                      965                  1.0000000000000001E-005                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.7578036286561113E-005                  2.9231606861733830E+001                  1.0917367957337116E+000                  4.7443173995948007E-001                  5.9899143280242921E-002                  2.9262057575182528E+001                  1.0917367957337116E+000                  4.7443173995948007E-001                  5.9899143280242921E-002                  1.0917367957337116E+000                  2.9231606861733830E+001                 -2.1637117422591583E+001                 -8.1114011813195361E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6319947755726121E+000                  2.4168952875164225E+000                  1.4677169290656136E+000                  1.5024554952818980E+000                 -1.6941970757814977E+000                  6.7697600710613592E+000                  5.4774571558501117E+000                 -3.2906431900929523E+000                  1.0310552315606751E+001                 -3.2906431900929523E+000                  5.4774571558501117E+000                  6.2102242663713159E-001                  8.5033846427482007E-001                  1.2958661539247949E+000                  7.0067371641245069E-001                  2.7907735932362615E-001                  3.4379075955289213E-003                  9.4388501576638303E-003                  7.0067371641245080E-001                  2.7910526985061128E-005                  2.7907735932362621E-001                  7.0067371641245080E-001                  2.7907735932362610E-001                                        0                                        0                                        9                  3.4499999999999997E-001 
                                      10                                      954                  1.0230000000000003E-002                  5.1200000000000004E-003                 -2.2907300390241692E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.6825571381612554E-005                  1.8172266607084772E+001                  1.0917344946336816E+000                  2.9013302776379213E+001                  2.1716479881747365E+001                  1.8789556141144310E+001                  1.0917344946336816E+000                  2.9039945848203313E+001                  2.1263939367023955E+001                  1.0917344946336816E+000                  1.8172266607084772E+001                 -2.1637130206883629E+001                 -8.1114347535246424E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5891232396764932E+000                  2.2385184490127346E+000                  1.4642715816060075E+000                  1.5093461902011100E+000                 -1.6941970757814977E+000                 -3.8133199116408334E-002                  5.4774585189745864E+000                 -3.2906405339655116E+000                  1.0310556343281560E+001                 -3.2906405339655116E+000                  5.4774585189745864E+000                  6.2102242407348895E-001                  8.5033846427482029E-001                  1.2958661539247949E+000                  7.0067371641245069E-001                  2.7907735932362615E-001                  3.4379075955289218E-003                  9.4388501576638303E-003                  7.0067371641245069E-001                  2.7910526985061124E-005                  2.7907735932362615E-001                  7.0067371641245069E-001                  2.7907735932362610E-001                                        0                                        0                                        9                  1.9960000000000000E+000 
                                      20                                      956                  2.6623000000000002E-001                  4.0960000000000003E-002                 -1.3876400520322254E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  3.6818722414823219E-005                  1.8958828603295895E+001                  1.3318890635341849E+000                  2.8899912693835748E+001                  1.9614773347752621E+001                  2.8924352093354720E+001                  1.3318890635341849E+000                  4.0643354082752664E-001                  5.9897004055314000E-002                  1.3318890635341849E+000                  1.8958828603295895E+001                 -2.1636735453743043E+001                 -8.1112700960719394E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5784197196508494E+000                  2.1909329362715844E+000                  1.4618858652867199E+000                  1.5141176228396853E+000                 -1.6941970757814977E+000                 -2.7475617794235510E-004                  5.4774873709195395E+000                 -3.2905966472587247E+000                  1.0310629316926313E+001                 -3.2905966472587247E+000                  5.4774873709195395E+000                  6.2102236081026296E-001                  8.5033846427482007E-001                  1.2958661539247951E+000                  7.0067371641245069E-001                  2.7907735932362615E-001                  3.4379075955289213E-003                  9.4388501576638303E-003                  7.0067371641245069E-001                  2.7910526985061121E-005                  2.7907735932362615E-001                  7.0067371641245058E-001                  2.7907735932362615E-001                                        4                                        1                                       19                  7.9909999999999997E+000 
                                      30                                      392                  5.6104504952644533E+001                  2.7941214400575376E+001                  1.4462452777984660E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999846732572018E-001                  2.8369049127258080E+001                  5.8970070858702942E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8390714661758409E+001                  5.8970070858702942E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8369049127258080E+001                 -2.1497522008715009E+001                 -8.0548736939120417E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5786949423888470E+000                  2.1759831228802575E+000                  1.4538605131150606E+000                  1.5301683271830040E+000                 -1.6941970757814977E+000                 -3.2475405498372622E-005                  5.4853129990803557E+000                 -3.2702762897714335E+000                  1.0338799889516746E+001                 -3.2702762897714335E+000                  5.4853129990803557E+000                  6.2101381927085242E-001                  8.5033846427482029E-001                  1.2958661539247951E+000                  7.0067371641245069E-001                  2.7907735932362615E-001                  3.4379075955289213E-003                  9.4388501576638303E-003                  7.0067371641245069E-001                  2.7910526985061121E-005                  2.7907735932362615E-001                  7.0067371641245069E-001                  2.7907735932362610E-001                                        4                                        1                                        4                  9.2949999999999999E+000 
                                      40                                      316                  2.4549930616657180E+003                  4.1889205709533690E+002                  2.6221021254785026E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999921227864874E-001                  1.8956036726555595E+001                  4.0819554186449100E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8965281359583219E+001                  4.0819554186449100E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8956036726555595E+001                 -1.8512014380559719E+001                 -6.8618338460395563E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5961770578146388E+000                  1.8959850366314237E+000                  1.2788972391390609E+000                  1.8800948751350031E+000                 -1.6941970757814977E+000                 -7.2993759742816861E-006                  5.6470039644926047E+000                 -2.7909861162764789E+000                  1.0979931645603552E+001                 -2.7909861162764789E+000                  5.6470039644926047E+000                  6.2081759539665726E-001                  8.5033846427482007E-001                  1.2958661539247951E+000                  7.0067371641245069E-001                  2.7907735932362615E-001                  3.4379075955289218E-003                  9.4388501576638303E-003                  7.0067371641245080E-001                  2.7910526985061128E-005                  2.7907735932362615E-001                  7.0067371641245091E-001                  2.7907735932362632E-001                                        4                                        1                                        7                  9.9740000000000002E+000 
                                      50                                      320                  1.0855721761271072E+004                  1.3383644031257163E+003                  3.1265743770490304E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999978791315047E-001                  1.2036844047971719E+001                  2.6673580024450447E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2043999502924297E+001                  2.6673580024450447E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2036844047971719E+001                 -1.5446620334247978E+001                 -5.6566478157617837E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6140184812284031E+000                  1.5724021114099447E+000                  1.0814229297007918E+000                  2.2750434940115416E+000                 -1.6941970757814977E+000                 -1.3607954876808692E-006                  5.8325325657501823E+000                 -2.2366252775287396E+000                  1.1719974463160071E+001                 -2.2366252775287396E+000                  5.8325325657501823E+000                  6.2064712592356919E-001                  8.5033846427482007E-001                  1.2958661539247951E+000                  7.0067371641245069E-001                  2.7907735932362615E-001                  3.4379075955289213E-003                  9.4388501576638303E-003                  7.0067371641245080E-001                  2.7910526985061128E-005                  2.7907735932362615E-001                  7.0067371641245091E-001                  2.7907735932362626E-001                                        4                                        1                                        9                  1.0837000000000000E+001 
                                      60                                      328                  3.7533261010378148E+004                  4.2439807652178697E+003                  3.6277734069025662E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999994400740622E-001                  7.7460112067311462E+000                  1.7499434426760403E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7475710508791513E+000                  1.7499434426760403E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7460112067311462E+000                 -1.2747691921635079E+001                 -3.8762572099804146E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6294924487605651E+000                  1.2507435888738421E+000                  8.8964573336841679E-001                  2.6585978866762914E+000                 -1.6941970757814977E+000                 -2.6370781414420035E-007                  6.0156438245315531E+000                 -1.6874533951095905E+000                  1.2452426387577708E+001                 -1.6874533951095905E+000                  6.0156438245315531E+000                  6.2043506913711621E-001                  8.5033846427482007E-001                  1.2958661539247951E+000                  7.0067371641245069E-001                  2.7907735932362615E-001                  3.4379075955289213E-003                  9.4388501576638303E-003                  7.0067371641245069E-001                  2.7910526985061124E-005                  2.7907735932362615E-001                  7.0067371641245080E-001                  2.7907735932362626E-001                                        4                                        1                                        9                  1.1849000000000000E+001 
                                      70                                      333                  1.2211975758042285E+005                  1.3492121009126486E+004                  4.1300802276668982E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999998441040883E-001                  5.0495945035770919E+000                  1.1559736649088964E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0509560606314414E+000                  1.1559736649088964E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0495945035770919E+000                 -9.6587927160823099E+000                 -3.0538408255995076E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6400421393216615E+000                  9.2093307278584058E-001                  7.0364109420222332E-001                  3.0306071650086785E+000                 -1.6941970757814977E+000                 -5.1991619654315330E-008                  6.1955010917945401E+000                 -1.1472251775719293E+000                  1.3172752509673654E+001                 -1.1472251775719293E+000                  6.1955010917945401E+000                  6.2016175182764111E-001                  8.5033846427482007E-001                  1.2958661539247951E+000                  7.0067371641245058E-001                  2.7907735932362615E-001                  3.4379075955289213E-003                  9.4388501576638303E-003                  7.0067371641245069E-001                  2.7910526985062110E-005                  2.7907735932362615E-001                  7.0067371641245069E-001                  2.7907735932362626E-001                                        4                                        1                                        9                  1.2990000000000000E+001 
                                      80                                      340                  3.9386080800034699E+005                  4.3635314666255734E+004                  4.6398381121309917E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999999548420493E-001                  3.3350930324315970E+000                  7.7047874847804738E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3354546786425150E+000                  7.7047874847804738E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3350930324315970E+000                 -7.5513058970083362E+000                 -2.3571339287201589E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6439769024664104E+000                  5.7607647733722256E-001                  5.2334327018841720E-001                  3.3912028130362906E+000                 -1.6993176783649429E+000                 -1.0264623355563965E-008                  6.3715605648604443E+000                 -6.1866335015999430E-001                  1.3877619635960107E+001                 -6.1866335015999430E-001                  6.3715605648604443E+000                  6.1991707165250109E-001                  8.5033846427417925E-001                  1.2958661539266159E+000                  7.0067371641114384E-001                  2.7907735932429234E-001                  3.4379075955808885E-003                  9.4388501578065078E-003                  7.0078428614881760E-001                  2.7904538988229193E-005                  2.7901748463951170E-001                  7.0067371641237208E-001                  2.7907735932362721E-001                                        4                                        1                                        9                  1.4217000000000001E+001 
