                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1317                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999991400013E-001                  1.3091393410670402E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.3183927247671088E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.7707204491512334E+000                 -7.9374835191841186E+001                 -9.8999999999999986E+001                 -2.7707204491512334E+000                 -2.7707204491559612E+000                 -1.3733829108123135E+001                 -7.9374835191841186E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6403470632611827E+000                 -5.2649244508680276E-002                  2.1624008767592073E-001                  4.0054091780612833E+000                  2.8400283609416771E-001                  6.6638467058479289E+000                  3.0782566023453567E-001                  1.5096811972339225E+001                  3.0782566023453567E-001                  6.6638467058479289E+000                  6.1977789011772999E-001                  8.5033846427482029E-001                  1.2958661539247953E+000                  7.0067371641245069E-001                  2.7907735932362615E-001                  3.4379075955289213E-003                  9.4388501576638303E-003                  3.4379075955289183E-003                  9.4388501576638355E-003                  7.0067371641245058E-001                  2.7907735932362610E-001                                        0                                        0                                        9 
                                      10                                     1318                  5.1100000000000008E-003                 -2.8927900303521312E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9180546886930410E-001                  1.2782230074029516E-001                  9.9999999988900012E-001                  9.9973679588313136E-001                  9.9323554152744398E-001                  6.1208294856132654E-002                  1.0000000000000000E+000                  9.9968422637599474E-001                 -2.7664084717202853E+000                 -7.9374820272341012E+001                 -1.8186738476447172E+001                 -2.7664084717202853E+000                 -2.7664084717268880E+000                 -1.3584461733171713E+001                 -7.9374820272341012E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6403465592291577E+000                 -5.2652557353447538E-002                  2.1623943931758643E-001                  4.0054104747779524E+000                 -6.7804171789687463E-007                  6.6638468990998510E+000                  3.0782595321463557E-001                  1.5096812459860306E+001                  3.0782595321463557E-001                  6.6638468990998510E+000                  6.1977788988223437E-001                  8.5033846427482029E-001                  1.2958661539247949E+000                  7.0067371641244980E-001                  2.7907735932363348E-001                  3.4379075955289205E-003                  9.4388501576638303E-003                  3.4379075955289183E-003                  9.4388501576638355E-003                  7.0067371641245058E-001                  2.7907735932362659E-001                                        2                                        0                                       12 
                                      20                                     1318                  1.0495000000000003E-001                 -1.6886700476962067E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9724261077007070E-001                  1.2783358828960956E-001                  9.9999999988900012E-001                  9.9817846042882497E-001                  9.9774388965358107E-001                  5.8899256790864121E-002                  1.0000000000000000E+000                  9.9784353689690142E-001                 -2.7637069430835863E+000                 -7.9374779148864050E+001                 -1.8186738476447172E+001                 -2.7637069430835863E+000                 -2.7637069430901486E+000                 -1.3584446638772512E+001                 -7.9374779148864050E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6402974482887691E+000                 -5.2850202039652731E-002                  2.1623883885526207E-001                  4.0054116757026010E+000                 -8.4768254672910876E-008                  6.6638474314874783E+000                  3.0782676876167231E-001                  1.5096813811323610E+001                  3.0782676876167231E-001                  6.6638474314874783E+000                  6.1977788923587085E-001                  8.5033846427481941E-001                  1.2958661539247962E+000                  7.0067371641243037E-001                  2.7907735932377853E-001                  3.4379075955289187E-003                  9.4388501576638303E-003                  3.4379075955289183E-003                  9.4388501576638355E-003                  7.0067371641244991E-001                  2.7907735932363131E-001                                        8                                        0                                       14 
                                      30                                     1318                  4.2007030000000007E+001                  1.3216299089436050E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999988900012E-001                  1.3308860847487661E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.2442117081468416E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.7640657826265889E+000                 -7.9374642059132810E+001                 -9.8999999999999986E+001                 -2.7640657826265893E+000                 -2.7640657826331574E+000                 -1.3584392473466416E+001                 -7.9374642059132810E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6402953173229333E+000                 -5.2862000742664922E-002                  2.1623720143542757E-001                  4.0054149505422698E+000                 -6.0240439430531671E-010                  6.6638490739230649E+000                  3.0783336699289959E-001                  1.5096822051919089E+001                  3.0783336699289959E-001                  6.6638490739230649E+000                  6.1977788840490877E-001                  8.5033846427466508E-001                  1.2958661539253160E+000                  7.0067371640438125E-001                  2.7907735938445927E-001                  3.4379075955289179E-003                  9.4388501576638320E-003                  3.4379075955289183E-003                  9.4388501576638355E-003                  7.0067371641215059E-001                  2.7907735932569139E-001                                        8                                        0                                        2 
                                      40                                     1318                  4.2949736949999999E+004                  4.3319298655834171E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999988900012E-001                  1.3428042348460170E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.1725575139830369E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.1579972438543709E+000                 -7.9242685340914065E+001                 -1.8362829735502849E+001                 -3.1579972438543704E+000                 -3.1579972438727300E+000                 -1.3531932545994438E+001                 -7.9242685340914065E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6401252491591847E+000                 -5.7438445140142548E-002                  2.1428911556418587E-001                  4.0093111222847533E+000                 -5.9035485981132679E-010                  6.6654147431003521E+000                  3.1446080892162964E-001                  1.5105014228906796E+001                  3.1446080892162964E-001                  6.6654147431003521E+000                  6.1977737983811343E-001                  8.5033846411218594E-001                  1.2958661544710079E+000                  7.0067371424770586E-001                  2.7907737273836458E-001                  3.4379075955289053E-003                  9.4388501576638320E-003                  3.4379075955289183E-003                  9.4388501576638355E-003                  7.0067371622795260E-001                  2.7907736044688408E-001                                        8                                        0                                        9 
                                      50                                     1344                  4.7421749480028488E+006                  5.9845399407196256E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998275013E-001                  4.1156051110136022E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.5357678330416431E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.3306049624705958E+000                 -7.1441285510756487E+001                 -9.8999999999999986E+001                 -3.3306049624705958E+000                 -3.3306049941236737E+000                 -1.0467973338727774E+001                 -7.1441285510756487E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6354820792822209E+000                 -3.0124827181048630E-001                  1.0167054198294076E-001                  4.2345482694472434E+000                 -1.5828101832812660E-010                  6.7606771175930485E+000                  7.8504412822599490E-001                  1.5670905998089719E+001                  7.8504412822599490E-001                  6.7606771175930485E+000                  6.1980024215664842E-001                  8.5033695140478116E-001                  1.2958700950290079E+000                  7.0067058841592800E-001                  2.7908005369619332E-001                  3.4379314704665194E-003                  9.4389157078852773E-003                  3.4379013653438604E-003                  9.4388330525551154E-003                  7.0067368330882129E-001                  2.7907737342833877E-001                                        8                                        0                                        9 
                                      60                                     1436                  2.2186434681300350E+007                  6.2174219681056870E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999993275046E-001                  8.9277640824580617E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996087496E-001                  8.7822264641857029E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.1669725819043362E+000                 -5.4573788367878088E+001                 -1.3404820421387093E+001                 -1.1669725819040850E+000                 -1.1675608522618672E+000                 -4.0354740299919873E+000                 -5.4573788367878088E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7186244332259695E+000                 -1.4710065930190158E-001                  1.2459640349736577E-002                  4.4129700727136516E+000                 -6.5782268606596226E-012                  7.0017690838988829E+000                  1.7401980852818417E+000                  1.6871030761315232E+001                  1.7401980852818417E+000                  7.0017690838988829E+000                  6.1992903162336999E-001                  8.5029742769914307E-001                  1.2959934450306765E+000                  7.0056360491975911E-001                  2.7910168266528779E-001                  3.4364412775854821E-003                  9.4393714603636936E-003                  3.4376787471815115E-003                  9.4382218495433039E-003                  7.0066494658972844E-001                  2.7907741976397565E-001                                        8                                        0                                        5 
                                      68                                     1621                  4.4028532684288032E+007                  6.7293927390096036E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.2382691123871216E-002                  6.1309153304966807E-002                  7.8130214738425384E-008                  9.9999999997806255E-001                  9.6999843116547291E-001                  8.1970862943863576E-002                  7.8130214738425384E-008                  9.9999999999150013E-001                  9.6536216595078861E-001                 -1.5459701924996269E-001                 -4.7303508177432349E+001                 -9.8405021224610145E+000                 -1.5459701916045110E-001                 -1.9503856576545164E-001                 -1.2056174467851180E+000                 -4.7303508177432349E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7505222218456953E+000                 -1.5786997868987082E-001                 -5.6720596583699989E-002                  4.5513305465805249E+000                 -6.1853258520912522E-012                  7.1345833753799273E+000                  1.8899231529411824E+000                  1.7153803158650593E+001                  1.8899231529411824E+000                  7.1345833753799273E+000                  6.2020833254116925E-001                  8.4981802711608267E-001                  1.2972021430447536E+000                  6.9965341164097439E-001                  2.7991771803587967E-001                  2.4335414919953919E-003                  9.4403508619381373E-003                  3.4367006716955768E-003                  9.4355365220008623E-003                  7.0051014378893817E-001                  2.7916906425091170E-001                                        8                                        0                                        6 
                                      70                                     1687                  6.3872473523674868E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.1278581627101716E-002                  5.8230726593177851E-002                  7.8130216044709339E-008                  9.9999999998040601E-001                  9.6779458746881264E-001                  8.0515643629163969E-002                  7.8130216044709339E-008                  9.9999999999368749E-001                  9.6252790016296907E-001                 -1.6038226293334312E-001                 -4.7391122904355612E+001                 -9.8876525351440918E+000                 -1.6038226285196380E-001                 -1.9280596100811490E-001                 -1.3034150188403473E+000                 -4.7391122904355612E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7500347150231410E+000                 -1.6126222812417187E-001                 -5.7441707655741005E-002                  4.5527727687246067E+000                  3.7810698949618187E-013                  7.1328142463961717E+000                  1.8907848179479607E+000                  1.7152578478209673E+001                  1.8907848179479607E+000                  7.1328142463961717E+000                  6.2068923050958136E-001                  8.4933041555036271E-001                  1.2984936919727295E+000                  6.9867591732355727E-001                  2.8075860565943117E-001                  1.6441474569405807E-003                  9.4413859938991644E-003                  3.4356894490854264E-003                  9.4327601883071720E-003                  7.0035491902993341E-001                  2.7928099118827915E-001                                        8                                        0                                        5 
