                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     489                                     2185                  1.0000000000000000E+000                  2.0000000000000000E-002                  4.6100000000000000E+009                  2.5490929134424385E+006                  5.7727192040488053E+003                  9.9846907282213704E-001                  1.0003806411396545E+000                 -1.5254180979524918E+000                  3.4112508129621416E-001                  7.4233538590240426E-006                  6.3739923941919308E-001                  1.2398583914343095E-005                  5.2624595818489038E-003                  9.0672940893447625E-003                  2.1876047313463764E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.6298835801714595E-001                  7.4766321660834918E-004                  3.1589848479689181E-001                  2.5289900267254218E-003                  2.0203962095350558E-003                  9.4279104280911973E-003                  2.1226558477901222E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999991143784E-001                  1.0002274200169350E+000                  9.9999999983120169E-001                  1.0001120731619042E+000                  1.0018010668383393E+004                  2.3500637460412148E+007                  1.0015332745094807E+010                  9.9866371632069162E-001                  9.9866371184011327E-001                  1.7986020766841690E-043                  2.4349389083079605E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.4548307142624000E+017 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                       dq                                   csound 
                                       1                  1.0000000000000000E+000                  1.6527889255950613E-004                  3.7617706056790476E+000                 -6.6468250472193802E+000                  4.9303891124755266E+000                  7.2650091127462357E-001                  2.5473735032448580E-001                  1.8761738400890682E-002                  1.0003806411396545E+000                  7.0312499999992457E-013                  7.8707818365010840E+005 
                                       2                  9.9999999999929701E-001                  1.6464381711395621E-004                  3.7629362337514642E+000                 -6.6432476638480003E+000                  4.9351361231198405E+000                  7.2650091091970403E-001                  2.5473735061885594E-001                  1.8761738461440025E-002                  1.0003791782688529E+000                  1.3906249999998760E-012                  7.8806143285892345E+005 
                                       3                  9.9999999999790623E-001                  1.6339807469657505E-004                  3.7645197548302289E+000                 -6.6385754505450860E+000                  4.9413974682612878E+000                  7.2650091049019028E-001                  2.5473735097509426E-001                  1.8761738534715411E-002                  1.0003763087574029E+000                  1.4062499999998526E-012                  7.8939277929240628E+005 
                                       4                  9.9999999999650002E-001                  1.6215180429819960E-004                  3.7667679894280681E+000                 -6.6322353216649041E+000                  4.9499940797417388E+000                  7.2650091018516683E-001                  2.5473735122808089E-001                  1.8761738586752230E-002                  1.0003734380380087E+000                  2.4999999999998585E-012                  7.9127359712160204E+005 
                                       5                  9.9999999999400013E-001                  1.5996829639006537E-004                  3.7689986526166677E+000                 -6.6263786503923710E+000                  4.9580899183797111E+000                  7.2650091012273010E-001                  2.5473735127986585E-001                  1.8761738597404043E-002                  1.0003684084603535E+000                  1.2499999999999359E-012                  7.9312778123452910E+005 
                                       6                  9.9999999999275002E-001                  1.5889115430990633E-004                  3.7705086701618229E+000                 -6.6225799335974154E+000                  4.9634045508399165E+000                  7.2650091010473594E-001                  2.5473735129479019E-001                  1.8761738600473921E-002                  1.0003659273384027E+000                  1.2499999999997945E-012                  7.9437577232608688E+005 
                                       7                  9.9999999999150002E-001                  1.5782338485400839E-004                  3.7728100116355621E+000                 -6.6170384462165677E+000                  4.9712565858412541E+000                  7.2650091009330942E-001                  2.5473735130426739E-001                  1.8761738602423250E-002                  1.0003634678117144E+000                  2.4999999999998702E-012                  7.9626594046276005E+005 
                                       8                  9.9999999998899991E-001                  1.5571489863707612E-004                  3.7753946014852771E+000                 -6.6112844196860205E+000                  4.9796059098445307E+000                  7.2650091009116424E-001                  2.5473735130604630E-001                  1.8761738602789402E-002                  1.0003586110899472E+000                  1.5624999999999284E-012                  7.9837032253041351E+005 
                                       9                  9.9999999998743749E-001                  1.5441442404915868E-004                  3.7774257192429297E+000                 -6.6070090717519427E+000                  4.9859210615557013E+000                  7.2650091009061901E-001                  2.5473735130649883E-001                  1.8761738602882216E-002                  1.0003556155671880E+000                  1.5624999999999284E-012                  8.0000976223683741E+005 
