                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                time_step                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                           conv_mx1_top_r                           conv_mx1_bot_r                           conv_mx2_top_r                           conv_mx2_bot_r                                mx1_top_r                                mx1_bot_r                                mx2_top_r                                mx2_bot_r                            cz_bot_radius                            cz_top_radius                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                          log_surf_cell_z                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he3                              surface_he4                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters                             elapsed_time 
                                       1                                      350                  1.6175236809197327E+006                  1.7834958091973272E+005                  5.2512720931839807E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  9.9999999909707005E-001                  2.0626405412128883E+000                  4.8017522750721927E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0627350587603237E+000                  4.8017522750721927E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0626405412128883E+000                 -4.6114727726345706E+000                 -1.6473574597972902E+001                 -8.7229177390208164E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6478689613013855E+000                  1.7400965361072845E-001                  3.1452574065522010E-001                  3.8088378721026852E+000                 -1.7592565027053664E+000                 -1.5861047576356354E-009                  6.5767820596869058E+000                 -2.5806093857321517E-003                  1.4699280197882992E+001                 -2.5806093857321517E-003                  6.5767820596869058E+000                  6.1981800995910619E-001                  8.5033846426602266E-001                  1.2958661539532597E+000                  7.0067371637476006E-001                  2.7907735943191048E-001                  3.4379075956966817E-003                  9.4388501581244202E-003                  7.0100108232492997E-001                  2.7892161358589569E-005                  2.7889352691702135E-001                  7.0067371637868203E-001                  2.7907735942970674E-001                                        0                                        0                                        9                  1.6100000000000000E-001 
                                      10                                     1335                  4.8013368515418423E+006                  5.5995165949135355E+005                  5.7481505360734575E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.4541323080417892E+000                  5.1865819912878763E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4541643763156098E+000                  4.7227411942228065E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1865819912878763E-001                  1.4541323080417892E+000                 -3.7655213014382576E+000                 -1.2180816022452154E+001                 -7.5826770102109123E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6362038233290930E+000                 -1.7647537714545983E-001                  1.6261350122171098E-001                  4.1126623509697033E+000                 -1.6941974765477505E+000                 -3.3826825238115258E-010                  6.7063731511863960E+000                  5.0685458083630097E-001                  1.5338328607674027E+001                  5.0685458083630097E-001                  6.7063731511863960E+000                  6.1976759664831271E-001                  8.5033774403767615E-001                  1.2958680049714772E+000                  7.0067225843293601E-001                  2.7907870821933212E-001                  3.4379197591783944E-003                  9.4388835532420081E-003                  7.0067385154531037E-001                  2.7912344686952327E-005                  2.7907724102059045E-001                  7.0067371022032054E-001                  2.7907737213730194E-001                                        0                                        0                                       13                  4.1420000000000003E+000 
                                      20                                     1381                  1.7731860542018399E+007                  2.2320417663445380E+006                  6.3487023169336645E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0669711678897220E+000                  5.9826841036480505E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0669911826057208E+000                  5.7934264606345298E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9826841036480505E-001                  1.0669711678897220E+000                 -2.0899291037707011E+000                 -6.8463442477102845E+000                 -6.1991358278403766E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6689680053933289E+000                 -3.1430779957661442E-001                  2.8168925877660986E-002                  4.3815515016578033E+000                 -1.6990621010941365E+000                 -3.4711615805026128E-011                  6.8883664134347802E+000                  1.3635405590187764E+000                  1.6378583719907450E+001                  1.3635405590187764E+000                  6.8883664134347802E+000                  6.1990015384197150E-001                  8.5032893496573458E-001                  1.2958932277533937E+000                  7.0065123823284547E-001                  2.7908896633443686E-001                  3.4380075038499373E-003                  9.4391326721603303E-003                  7.0068149430357096E-001                  2.7920957038885167E-005                  2.7907023040332074E-001                  7.0067267001212341E-001                  2.7907737353187384E-001                                        0                                        0                                        6                  8.4949999999999992E+000 
                                      30                                     1597                  3.8247025652061202E+007                  3.0419461444540136E+006                  6.4831515209025525E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  4.3545555286787684E-002                  9.4608709175567351E-002                  1.1152865290293256E-003                  9.1259970470286111E-001                  6.5475210155545460E-001                  1.0126324295843923E-001                  1.1152865290293256E-003                  9.1261739222320759E-001                  6.4470330824291699E-001                  0.0000000000000000E+000                  9.4608709175567351E-002                 -1.9654056834359201E-001                 -1.2396031650068362E+000                 -4.7313442322466052E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7548813208115903E+000                 -1.0639010655902159E-001                 -3.9698858450065197E-002                  4.5172870703132553E+000                 -1.7069183588294217E+000                 -3.2480437913791490E-011                  7.1339374724879150E+000                  1.8994592855714774E+000                  1.7162921010109766E+001                  1.8994592855714774E+000                  7.1339374724879150E+000                  6.2002203310114989E-001                  8.5001474354606887E-001                  1.2966885703910294E+000                  7.0004156731675504E-001                  2.7959188020918674E-001                  2.8184158598104359E-003                  9.4399390269876652E-003                  7.0075541603257940E-001                  2.7915847977558461E-005                  2.7900071651450487E-001                  7.0058467941633262E-001                  2.7911927969772804E-001                                        0                                        0                                        4                  1.1804000000000000E+001 
                                      32                                     1634                  4.7399706201107606E+007                  5.4208691194186360E+006                  6.7340689218719154E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  5.6971741372227928E-002                  1.0420401026456601E-001                  1.1226071534661598E-003                  8.7736545817391032E-001                  6.3722409516603062E-001                  1.1207123105488181E-001                  1.1226071534661598E-003                  8.7738325579101806E-001                  6.2782847290823307E-001                  0.0000000000000000E+000                  1.0420401026456601E-001                 -1.9472882568983416E-001                 -1.2094858586811390E+000                 -4.7304797424535522E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7506499129922384E+000                 -1.5751648335962920E-001                 -5.6799231211664969E-002                  4.5514878158364551E+000                 -1.7188187287782766E+000                 -5.9790475484260387E-012                  7.1344648620073343E+000                  1.8909352407466693E+000                  1.7154678726047102E+001                  1.8909352407466693E+000                  7.1344648620073343E+000                  6.2024860008973115E-001                  8.4977701860828325E-001                  1.2973123668893010E+000                  6.9957353556861213E-001                  2.7997926369988679E-001                  2.2989726754716446E-003                  9.4403999361787321E-003                  7.0081409992567456E-001                  2.7910382661878505E-005                  2.7894554236313396E-001                  7.0050879515339404E-001                  2.7916968183901991E-001                                        0                                        0                                        5                  1.2529000000000000E+001 
                                      40                                     1805                  1.2739970620110761E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  2.3518203741715839E-002                  8.8064324826903218E-001                  6.3419923073798490E-001                  7.5568195024626278E-002                  1.1069400882224110E-003                  8.8066052686322893E-001                  6.2480177093285338E-001                  8.0853356715895164E-002                  1.1069400882224110E-003                  6.3419923073798490E-001                  8.8064324826903218E-001                 -1.6049442039167072E-001                 -1.7838795016006554E+000                 -4.7358779694872332E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7518225702019783E+000                 -1.4959044024885057E-001                 -5.5181524075755432E-002                  4.5482524015646355E+000                 -1.7400080170700405E+000                  1.4747183222754553E-013                  7.1324621110256388E+000                  1.9092463158610444E+000                  1.7169659557818420E+001                  1.9092463158610444E+000                  7.1324621110256388E+000                  6.2242042629059657E-001                  8.4758154467429603E-001                  1.3030836799556820E+000                  6.9515093623892177E-001                  2.8402365183295358E-001                  2.3352467015361005E-004                  9.4446952558826271E-003                  7.0130517421685334E-001                  2.7864724324804660E-005                  2.7848294102998455E-001                  6.9990331315015186E-001                  2.7965411292762382E-001                                        0                                        0                                        4                  1.5571999999999999E+001 
                                      50                                     1892                  2.2739970620110762E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8411772859950311E-001                  6.3701280839418173E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8413547349205290E-001                  6.2763036336599431E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3701280839418173E-001                  8.8411772859950311E-001                 -1.4898335438475679E-001                 -2.0658346384263164E+000                 -4.7312232360821945E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7524039390657475E+000                 -1.4384494603693138E-001                 -5.3471514697333578E-002                  4.5448323828077921E+000                 -1.7404469882733411E+000                  8.1039669879171536E-014                  7.1319440797003315E+000                  1.9189497855763227E+000                  1.7176623851211847E+001                  1.9189497855763227E+000                  7.1319440797003315E+000                  6.2575703313210629E-001                  8.4417013155824872E-001                  1.3118587965549258E+000                  6.8832583504570866E-001                  2.9080696354152979E-001                  1.0131465168074168E-005                  9.4499672519773523E-003                  7.0191926782542324E-001                  2.7807461265771394E-005                  2.7790375936123535E-001                  6.9916900530607118E-001                  2.8031229139809893E-001                                        0                                        0                                        5                  2.0071999999999999E+001 
                                      60                                     1935                  3.2739970620110756E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8669443586654917E-001                  6.3981756881708429E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8671232564096225E-001                  6.2876188584369408E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3981756881708429E-001                  8.8669443586654917E-001                 -1.4424783010613551E-001                 -2.1730084279660913E+000                 -4.7223289025226947E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7526634467756383E+000                 -1.4027928918862378E-001                 -5.2207701692962412E-002                  4.5423047567990498E+000                 -1.7409786269749712E+000                  6.8971745019349915E-014                  7.1329940174908089E+000                  1.9239299117410187E+000                  1.7180141619664127E+001                  1.9239299117410187E+000                  7.1329940174908089E+000                  6.2944818889416188E-001                  8.4043782884662321E-001                  1.3215697777031574E+000                  6.8086135827562511E-001                  2.9825783607224921E-001                  9.1658057892258504E-006                  9.4547072055982499E-003                  7.0252629366910258E-001                  2.7750870846142929E-005                  2.7733140303999182E-001                  6.9844007670094110E-001                  2.8098625233730240E-001                                        0                                        0                                        5                  2.4251000000000001E+001 
                                      70                                     1953                  4.2739970620110756E+008                  1.0000000000000000E+007                  7.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.8895443002569674E-001                  6.4081753298006727E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8897253490578465E-001                  6.3125144120574528E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4081753298006727E-001                  8.8895443002569674E-001                 -1.4029113420179798E-001                 -2.2514320038769671E+000                 -4.7130553954356415E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7529286041917884E+000                 -1.3700776830733413E-001                 -5.1102256084617464E-002                  4.5400938655823602E+000                 -1.7421847479967991E+000                  6.4038753948062112E-014                  7.1341231097444942E+000                  1.9288005529827910E+000                  1.7183604310203695E+001                  1.9288005529827910E+000                  7.1341231097444942E+000                  6.3320146938232091E-001                  8.3669669890521092E-001                  1.3314487958694730E+000                  6.7337958836084821E-001                  3.0572558478108058E-001                  9.1214037488290031E-006                  9.4592822425187996E-003                  7.0313397998403626E-001                  2.7694193234980713E-005                  2.7675843005484990E-001                  6.9771213142836874E-001                  2.8167012935796060E-001                                        0                                        0                                        4                  2.8474000000000000E+001 
